transit_timestamp,station_complex,ridership
2024-12-31T00:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2828.0
2024-12-31T01:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",1198.0
2024-12-31T02:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",565.0
2024-12-31T03:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",399.0
2024-12-31T04:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",315.0
2024-12-31T05:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",1838.0
2024-12-31T06:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",3820.0
2024-12-31T07:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",4584.0
2024-12-31T08:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",5223.0
2024-12-31T09:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",4984.0
2024-12-31T10:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",4908.0
2024-12-31T11:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",5484.0
2024-12-31T12:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",5137.0
2024-12-31T13:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",5737.0
2024-12-31T14:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",5454.0
2024-12-31T15:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",5997.0
2024-12-31T16:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",5145.0
2024-12-31T17:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",4784.0
2024-12-31T18:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",4269.0
2024-12-31T19:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",3833.0
2024-12-31T20:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",4366.0
2024-12-31T21:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",3884.0
2024-12-31T22:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",3599.0
2024-12-31T23:00:00.000,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",1780.0
