x,y,time_s,soot_mass_fraction,gas_concentration_kg_kg,obscuration_percent_m,visibility_m,intensity,visibility
0,1,0,0,0,0.00,30.00000000,0.00000000,1.00000000
1,1,1,1.3e-05,1.3e-05,12.62,22.19681920,0.13000000,0.73989397
2,1,2,2.43e-05,2.43e-05,22.30,11.87484155,0.24300000,0.39582805
3,1,3,3.41e-05,3.41e-05,29.84,8.46213049,0.34100000,0.28207102
4,1,4,4.26e-05,4.26e-05,35.81,6.77367722,0.42600000,0.22578924
5,1,5,5.01e-05,5.01e-05,40.59,5.75965368,0.50100000,0.19198846
6,1,6,5.65e-05,5.65e-05,44.46,5.10723274,0.56500000,0.17024109
7,1,7,6.22e-05,6.22e-05,47.62,4.63920658,0.62200000,0.15464022
8,1,8,6.71e-05,6.71e-05,50.23,4.30042697,0.67100000,0.14334757
9,1,9,7.13e-05,7.13e-05,52.39,4.04710588,0.71300000,0.13490353
